customer_id,name,email,join_date,region,loyalty_score
C00189,Sean Roberts,sroberts@outlook.com,2018-11-27,Maine,0.209
C00190,Andres Bird,andres.bird@hotmail.com,2018-04-23,Washington,0.539
C00191,Jessica Hayden,jessica_hayden@gmail.com,2018-12-25,New Mexico,0.261
C00192,Teresa Lee,teresa_lee@icloud.com,2018-12-15,Maryland,0.273
C00193,Victoria Cortez,victoria.cortez@gmail.com,2018-03-08,Georgia,0.231
C00194,Megan Brown,megan_brown@icloud.com,2018-04-22,Texas,0.271
C00195,Michael Meadows,michael36@icloud.com,2018-11-03,Connecticut,0.35
C00196,Anne Wilson,awilson@hotmail.com,2018-10-28,Louisiana,0.308
C00197,Lindsey Turner,lindsey.turner@yahoo.com,2018-04-17,Massachusetts,0.397
C00198,Jenny Ramos,jenny35@icloud.com,2018-10-20,Wisconsin,0.381
C00199,Kristi Cannon,,2018-10-29,Arizona,0.275
C00200,Amber Andersen,amber_andersen@gmail.com,2018-01-25,Delaware,0.524
C00201,David Martinez,david_martinez@hotmail.com,2018-03-26,South Carolina,0.383
C00202,Jessica Moore,jessica_moore@outlook.com,2018-08-12,Wyoming,0.298
C00203,Jennifer Gutierrez,,2018-04-10,Missouri,0.232
C00204,Colin Oneal,,2018-10-25,North Carolina,0.242
C00205,Jane Reese,jane51@icloud.com,2018-05-08,North Dakota,0.421
C00206,Madison Sanchez,madison_sanchez@outlook.com,2018-01-20,Kentucky,0.311
C00207,Brian Brooks,brian50@yahoo.com,2018-01-28,Utah,0.669
C00208,Brittany Buchanan,brittany.buchanan@icloud.com,2018-01-19,North Dakota,0.132
C00209,Lee French,lee.french@gmail.com,2018-11-25,Iowa,0.458
C00210,Johnny Howard,johnny.howard@yahoo.com,2018-08-13,Maryland,0.073
C00211,Stephanie Graham,stephanie80@gmail.com,2018-08-05,Louisiana,0.077
C00212,Tammy Morgan,tammy_morgan@icloud.com,2018-07-09,Illinois,0.37
C00213,Sabrina Rivera,sabrina41@gmail.com,2018-07-31,Arizona,0.229
C00214,Marie Jones,marie.jones@yahoo.com,2018-03-01,South Dakota,0.066
C00215,Brittany Fisher,bfisher@gmail.com,2018-08-25,Delaware,0.433
C00216,Dr. Kelly Dyer,dr.dyer@hotmail.com,2018-06-27,Hawaii,0.377
C00217,Rebecca Wells,rebecca.wells@hotmail.com,2018-02-27,South Dakota,0.097
C00218,Sarah Perry,,2018-12-12,Massachusetts,0.086
C00219,William Garcia,william17@outlook.com,2018-10-31,South Carolina,0.274
C00220,Bianca Sullivan,bsullivan@icloud.com,2018-08-19,Utah,0.536
C00221,Zachary Martinez,zachary.martinez@hotmail.com,2018-03-22,Colorado,0.142
C00222,Ronnie Davis,rdavis@icloud.com,2018-08-24,Vermont,0.185
C00223,Christina Brown,christina.brown@gmail.com,2018-09-23,Alaska,0.29
C00224,Heather Ochoa,heather76@yahoo.com,2018-11-27,Kansas,0.324
C00225,Brittany Ramirez,brittany_ramirez@yahoo.com,2018-11-06,Indiana,0.311
C00226,Chris Sanchez,csanchez@yahoo.com,2018-09-27,Missouri,0.229
C00227,James Cook,james54@yahoo.com,2018-07-25,Alaska,0.135
C00228,Jessica Rodriguez,jessica39@icloud.com,2018-07-16,Mississippi,0.337
C00229,Joseph Parsons,joseph.parsons@outlook.com,2018-07-28,Tennessee,0.456
C00230,Kelly Gonzalez,kgonzalez@hotmail.com,2018-11-15,New York,0.133
C00231,Allen Ramirez,aramirez@gmail.com,2018-01-30,Indiana,0.348
C00232,Erin Brown,erin_brown@gmail.com,2018-03-31,Rhode Island,0.259
C00233,Jessica Richardson,jessica67@icloud.com,2018-09-15,Connecticut,0.406
C00234,Matthew Johnson,matthew20@gmail.com,2018-08-21,Minnesota,0.148
C00235,Matthew Lee,matthew_lee@hotmail.com,2018-05-27,Michigan,0.274
C00236,Timothy Brown,timothy_brown@icloud.com,2018-11-22,New Hampshire,0.159
C00237,Joanne Love,joanne_love@outlook.com,2018-08-16,Montana,0.369
C00238,Melanie Clark,mclark@hotmail.com,2018-11-13,Arkansas,0.089
C00239,Gabriela Sullivan,gabriela_sullivan@gmail.com,2018-07-05,Illinois,0.364
C00240,Jacob Brooks,jacob5@yahoo.com,2018-08-19,Texas,0.265
C00241,Amy Davis,amy36@outlook.com,2018-07-14,Wisconsin,0.203
C00242,Brenda Green,,2018-03-28,Alabama,0.177
C00243,Kristina Miller,kristina_miller@icloud.com,2018-07-22,Connecticut,0.324
C00244,Anna Schroeder,aschroeder@yahoo.com,2018-04-14,Kansas,0.378
C00245,Ann Reyes,ann13@outlook.com,2018-07-17,Florida,0.09
C00246,Shannon Alexander,shannon_alexander@hotmail.com,2018-09-09,Montana,0.363
C00247,Monica Russell,,2018-09-24,Oklahoma,0.191
C00248,Mary Ramos,mary_ramos@gmail.com,2018-05-28,Indiana,0.369
C00249,Travis Morrison,tmorrison@gmail.com,2018-09-20,Mississippi,0.09
C00250,Amber Herrera,amber22@gmail.com,2018-11-21,Ohio,0.15
C00251,Cody Vargas,cody25@yahoo.com,2018-12-17,Maine,0.194
C00252,Donna Hernandez,dhernandez@icloud.com,2018-12-18,Nevada,0.018
C00253,Alicia Mejia,alicia.mejia@outlook.com,2018-11-29,North Carolina,0.185
C00254,Julie Daniels,jdaniels@gmail.com,2018-11-15,Colorado,0.215
C00255,Travis Mcdonald,,2018-01-20,Connecticut,0.408
C00256,Nathaniel Foster,nfoster@gmail.com,2018-02-20,Tennessee,0.107
C00257,Amy Thompson,,2018-04-11,Hawaii,0.102
C00258,Eddie Roberts,,2018-02-04,Mississippi,0.232
C00259,Amy Cox,amy_cox@gmail.com,2018-01-21,Mississippi,0.096
C00260,Mary Smith,,2018-02-27,Rhode Island,0.3
C00261,Ashley Harris,,2018-06-27,Montana,0.246
C00262,Steven Peterson,speterson@yahoo.com,2018-04-15,Georgia,0.549
C00263,Christopher Gill,christopher_gill@gmail.com,2018-02-01,Florida,0.109
C00264,Traci Watson,traci_watson@icloud.com,2018-02-06,Alabama,0.342
C00265,Lisa Shaffer,lisa_shaffer@outlook.com,2018-11-20,Vermont,0.234
C00266,Joshua Watson,joshua42@hotmail.com,2018-02-14,Utah,0.355
C00267,Andres Shepherd,andres_shepherd@hotmail.com,2018-05-30,Pennsylvania,0.102
C00268,Robert Gill,,2018-04-01,Idaho,0.455
C00269,Amy Monroe,amy.monroe@icloud.com,2018-11-13,Indiana,0.145
C00270,Caitlyn Guzman,caitlyn_guzman@yahoo.com,2018-11-03,Minnesota,0.292
C00271,Alexandra Jones,,2018-11-05,Michigan,0.484
C00272,Lori Hartman,lhartman@outlook.com,2018-04-30,Hawaii,0.246
C00273,Russell White,rwhite@icloud.com,2018-01-05,Arizona,0.289
C00274,Jeffrey Hernandez,jeffrey.hernandez@yahoo.com,2018-08-29,Michigan,0.619
C00275,Jay Romero,,2018-01-25,Rhode Island,0.317
C00276,Christine Davis,christine_davis@yahoo.com,2018-08-18,Washington,0.409
C00277,Amanda Kerr,,2018-12-20,Iowa,0.4
C00278,Michelle Ross,mross@hotmail.com,2018-07-28,New Jersey,0.045
C00279,Emily Martin,emily.martin@outlook.com,2018-07-25,Wisconsin,0.385
C00280,Rebecca Bridges,,2018-08-15,North Carolina,0.033
C00281,Steven Rowe,srowe@icloud.com,2018-11-09,North Carolina,0.032
C00282,Kimberly Gamble,kimberly.gamble@icloud.com,2018-05-07,Maine,0.342
C00283,Renee Davidson,renee_davidson@icloud.com,2018-04-01,Missouri,0.448
C00284,Frank Davis,fdavis@hotmail.com,2018-04-27,Indiana,0.254
C00285,Ms. Jacqueline Fischer,ms40@hotmail.com,2018-08-22,Montana,0.385
C00286,Andrew Chaney,,2018-01-05,Maryland,0.132
C00287,Paul Macdonald,paul97@hotmail.com,2018-11-02,Nevada,0.191
C00288,Ruth Bradley,ruth7@yahoo.com,2018-05-30,Oklahoma,0.557
C00289,Kelsey Schroeder MD,kmd@yahoo.com,2018-04-05,Virginia,0.108
C00290,Lori Whitney,,2018-11-30,Georgia,0.311
C00291,Christopher James,christopher56@yahoo.com,2018-02-01,Minnesota,0.215
C00292,Kenneth Marks,,2018-09-11,Maryland,0.194
C00293,Christopher Roberts,christopher.roberts@gmail.com,2018-07-22,Vermont,0.4
C00294,Nicole Hernandez,nhernandez@outlook.com,2018-06-22,Georgia,0.485
C00295,Chris White,chris.white@icloud.com,2018-04-12,Colorado,0.25
C00296,Linda Bauer,lbauer@gmail.com,2018-01-18,Florida,0.192
C00297,Dustin Evans,dustin30@outlook.com,2018-09-10,New Jersey,0.066
C00298,Cheyenne Brown,,2018-06-23,Colorado,0.338
C00299,Clifford Thomas,clifford_thomas@hotmail.com,2018-08-04,Hawaii,0.501
C00300,Ronnie Francis,ronnie.francis@yahoo.com,2018-10-28,Massachusetts,0.239
C00301,Heather Thomas,heather.thomas@icloud.com,2018-06-12,Connecticut,0.465
C00302,Christopher Pratt,christopher41@outlook.com,2018-06-13,Kentucky,0.331
C00303,James Hogan,jhogan@icloud.com,2018-07-13,Delaware,0.178
C00304,Thomas Mcfarland,thomas61@hotmail.com,2018-11-17,New York,0.094
C00305,Daryl Shannon,,2018-11-19,Massachusetts,0.493
C00306,Bailey Benson,bailey.benson@icloud.com,2018-07-13,Nebraska,0.473
C00307,Michelle Vasquez,michelle18@outlook.com,2018-05-02,Florida,0.301
C00308,Adam Carter,acarter@outlook.com,2018-09-04,Delaware,0.352
C00309,Melissa Curtis,melissa_curtis@hotmail.com,2018-06-29,Rhode Island,0.219
C00310,Adriana Henry,adriana.henry@icloud.com,2018-01-18,New Mexico,0.454
C00311,Angie Hodges,,2018-11-17,Alaska,0.132
C00312,Katie Wright,kwright@gmail.com,2018-12-01,South Dakota,0.254
C00313,Robert Kane,robert.kane@yahoo.com,2018-01-27,South Dakota,0.339
C00314,James Dickson,james42@outlook.com,2018-03-09,Louisiana,0.428
C00315,Barbara Mckinney,barbara_mckinney@hotmail.com,2018-08-07,Louisiana,0.273
C00316,Eugene Mitchell,eugene.mitchell@hotmail.com,2018-07-16,Maryland,0.059
C00317,Steven Morrison,steven.morrison@icloud.com,2018-03-25,New York,0.346
C00318,Timothy Wiley MD,tmd@icloud.com,2018-11-20,Kentucky,0.104
C00319,Gregory Reed,,2018-11-24,Alabama,0.107
C00320,Todd Francis,tfrancis@outlook.com,2018-01-19,Idaho,0.252
C00321,Mr. Christopher King,,2018-09-19,Connecticut,0.272
C00322,James Cooper,james53@gmail.com,2018-01-15,Missouri,0.26
C00323,Kenneth Perry,kenneth_perry@yahoo.com,2018-02-01,Oregon,0.047
C00324,James Oneal,james.oneal@yahoo.com,2018-09-05,Washington,0.407
C00325,Nicole Thompson,nicole95@icloud.com,2018-07-16,Virginia,0.214
C00326,Elizabeth Underwood,elizabeth.underwood@yahoo.com,2018-01-23,Minnesota,0.122
C00327,Cory Joseph,,2018-04-15,Wisconsin,0.153
C00328,Jamie Becker,jamie.becker@gmail.com,2018-09-14,North Carolina,0.35
C00329,Heather Ayala,heather.ayala@yahoo.com,2018-12-02,Missouri,0.274
C00330,Patricia Cunningham,patricia_cunningham@outlook.com,2018-09-19,Florida,0.167
C00331,Claudia Allen,callen@hotmail.com,2018-02-24,South Dakota,0.332
C00332,Amy Bates,,2018-04-14,Mississippi,0.223
C00333,Jordan Flores,jflores@outlook.com,2018-04-30,Missouri,0.544
C00334,Dennis Kaufman,dennis_kaufman@outlook.com,2018-01-07,Utah,0.335
C00335,Cheryl Hall,cheryl61@gmail.com,2018-10-21,Nebraska,0.167
C00336,Julia Mathews,,2018-03-25,Nevada,0.293
C00337,Breanna Roberts,breanna.roberts@icloud.com,2018-10-13,Alaska,0.33
C00338,Nancy Johnson,,2018-09-10,Illinois,0.18
C00339,Shawn Miranda,smiranda@icloud.com,2018-05-06,Connecticut,0.307
C00340,Mr. Samuel Bailey MD,,2018-11-09,Virginia,0.266
C00341,Steven Bennett,steven_bennett@gmail.com,2018-09-28,Oklahoma,0.323
C00342,Tony Santos,tsantos@gmail.com,2018-03-24,Michigan,0.359
C00343,Bianca Lane,bianca9@yahoo.com,2018-08-15,Washington,0.299
C00344,Kayla Jones,kjones@hotmail.com,2018-06-25,Illinois,0.284
C00345,Justin Hickman,justin29@hotmail.com,2018-10-22,South Carolina,0.289
C00346,David Wilson,david_wilson@yahoo.com,2018-03-30,Hawaii,0.262
C00347,Lisa Perez,,2018-07-27,Arizona,0.539
C00348,Rhonda Hogan,rhonda6@hotmail.com,2018-01-31,North Carolina,0.592
C00349,Amanda Patterson,amanda97@gmail.com,2018-01-17,Indiana,0.187
C00350,Sarah Adkins,sarah.adkins@hotmail.com,2018-04-18,Kansas,0.316
C00351,Sheila Dorsey,,2018-02-27,Connecticut,0.217
C00352,Cindy Rice,crice@hotmail.com,2018-09-26,Illinois,0.274
C00353,Haley Smith,haley.smith@outlook.com,2018-06-10,Arkansas,0.228
C00354,Benjamin Adams,benjamin.adams@outlook.com,2018-01-15,Michigan,0.337
C00355,Luis Case,luis_case@icloud.com,2018-02-12,Indiana,0.264
C00356,Thomas Carter,thomas.carter@icloud.com,2018-05-05,Florida,0.541
