customer_id,first_name,last_name,email,phone,street_address,city,state,zip_code,join_date,first_order_date,loyalty_score,email_optin,last_purchase_date
C100010,Wanda,Allen,wanda_allen@outlook.com,509-642-4100,22107 Lisa Courts,Mooreton,California,00943,2018-05-24 21:58:53,2018-06-20 21:58:53,0.82,False,2022-04-09 05:35:25
C100011,Mackenzie,Ellis,mackenzie_ellis@outlook.com,(433) 283-3236,7075 Clark Meadows,Markstad,Pennsylvania,00189,2021-02-17 03:30:13,2021-04-05 03:30:13,0.63,True,2024-11-30 04:23:05
C100012,Raymond,Wallace,raymond.wallace@outlook.com,328-391-6089,11382 Stewart Drive,Burnsmouth,Florida,00336,2020-09-29 09:21:02,2020-09-29 09:21:02,0.61,False,2023-07-17 22:14:11
C100013,Mary,Osborn,mosborn@hotmail.com,(302) 587-1004,727 Cameron Cape Apt. 241,Lake Stevenbury,New York,00135,2023-04-14 05:47:00,2023-04-28 05:47:00,0.01,True,2023-08-10 23:30:23
C100014,Jeffrey,Foster,,6834805917,447 Thomas Village,North Tyler,Indiana,00468,2022-04-28 19:32:49,2022-07-18 19:32:49,0.11,True,2023-01-20 06:03:32
C100015,Craig,Watson,craig.watson@gmail.com,698-244-2091,70307 Mark Creek Apt. 825,East Bernardton,Georgia,00315,2024-12-13 01:35:18,2025-02-07 01:35:18,0.0,True,2025-02-07 01:35:18
C100016,Leah,Lee,leah_lee@gmail.com,5717977062,8044 Leslie Gardens,Charlesberg,Arizona,00861,2022-01-31 11:47:22,2022-02-25 11:47:22,0.19,True,2023-12-05 20:57:45
C100017,Chloe,Williamson,,959-818-5550,8572 Renee Fork,South Cynthia,Ohio,00431,2020-10-05 12:30:04,2020-10-05 12:30:04,0.68,False,2023-12-01 19:15:23
C100018,Steven,Chen,schen@outlook.com,(889) 686-3892,3582 Dustin Stream,Crystalstad,Illinois,00612,2022-03-01 18:02:04,2022-03-01 18:02:04,0.05,True,2023-11-11 16:26:11
C100019,Edward,Velez,evelez@yahoo.com,(375) 322-4598,13676 Johnson Haven Apt. 164,Lake James,Virginia,00222,2022-11-19 01:09:54,2022-12-06 01:09:54,0.48,True,2023-08-29 00:56:19
C100020,Tonya,Hernandez,tonya_hernandez@gmail.com,(240) 425-8586,437 Patricia Wells,East Kristin,Florida,00323,2024-03-29 07:55:25,2024-03-29 07:55:25,0.0,False,2024-10-11 06:02:57
C100021,Cynthia,Wade,,388-984-9994,395 Evans Avenue,Wilsonbury,New York,00140,2023-09-02 06:45:04,2023-09-11 06:45:04,0.08,False,2024-10-16 07:57:39
C100022,Donald,Gill,donald_gill@outlook.com,530-233-3495,43445 Jennifer Hollow,Annaville,New York,00108,2020-01-06 06:05:48,2020-02-11 06:05:48,0.47,True,2023-02-10 12:41:06
C100023,Corey,Luna,,(398) 583-7641,41536 Guy Hollow,Mosesberg,Virginia,00232,2018-01-05 11:03:46,2018-01-05 11:03:46,1.0,True,2018-11-11 16:36:57
C100024,Abigail,Le,abigail.le@gmail.com,501-498-5915,059 Elizabeth Hollow Suite 622,Carterport,Louisiana,00707,2022-05-10 19:55:59,2022-07-16 19:55:59,0.23,True,2022-11-20 05:33:57
C100025,Jonathan,Stout,jstout@hotmail.com,7049143964,940 Calvin Orchard,Port Katherine,Idaho,00838,2021-03-29 01:42:36,2021-06-26 01:42:36,0.58,True,2023-01-17 05:39:45
C100026,Deborah,Vasquez,dvasquez@outlook.com,3876799854,890 Rodriguez Passage,North Sabrina,California,00915,2021-06-23 09:23:06,2021-06-23 09:23:06,0.52,False,2024-04-24 03:15:38
C100027,Joseph,Gibbs,,(406) 431-2102,9401 John Spring Suite 701,Lake Joannamouth,New Jersey,00071,2021-03-07 03:00:35,2021-03-07 03:00:35,0.49,False,2023-08-20 08:38:05
C100028,Jesse,Kennedy,,699-758-4465,67249 Lisa Shoal Suite 029,Petersonchester,Georgia,00317,2019-06-19 07:50:28,2019-06-19 07:50:28,0.8,True,2020-03-15 00:36:13
C100029,Michael,Jones,mjones@hotmail.com,(269) 359-1739,38320 House Freeway,Hoganburgh,Texas,00791,2023-11-01 21:33:25,2023-11-01 21:33:25,0.29,True,2024-03-09 21:42:06
C100030,Richard,Bowman,rbowman@gmail.com,710-602-9060,0043 Brown Crossing,Phillipsport,Ohio,00437,2020-03-26 02:17:20,2020-03-26 02:17:20,0.74,True,2020-10-04 17:37:10
C100031,Christy,Schultz,christy_schultz@gmail.com,9332164358,99566 Samantha Pines Suite 335,Murphyshire,Florida,00323,2024-12-18 02:55:53,2024-12-18 02:55:53,0.11,False,2024-12-24 00:31:11
C100032,Brandon,Carson,brandon.carson@gmail.com,760-369-7733,540 Smith Ranch,South Christopher,Georgia,00315,2023-12-29 14:23:55,2024-01-21 14:23:55,0.16,True,2024-08-27 00:53:24
C100033,Calvin,King,calvin_king@hotmail.com,924-440-1801,7251 Sims Course Apt. 754,Lauraberg,Michigan,00499,2018-06-13 05:56:00,2018-06-13 05:56:00,0.84,True,2023-12-21 04:00:24
C100034,Carl,Reese,carl_reese@gmail.com,606-404-9418,869 Russell Center,East Janeborough,Oregon,00971,2018-02-22 06:42:23,2018-05-16 06:42:23,0.85,True,2024-04-21 19:53:45
C100035,Tracey,Munoz,tmunoz@yahoo.com,(706) 611-8452,7877 Hunt Crossing,Port Vincent,Illinois,00602,2021-09-12 15:04:36,2021-09-12 15:04:36,0.34,False,2024-08-29 08:21:01
C100036,Stephanie,Wilson,swilson@outlook.com,888-416-5932,0944 Victoria Hollow,Mariatown,New Jersey,00076,2023-09-22 20:24:16,2023-09-22 20:24:16,0.14,False,2024-12-09 14:32:38
C100037,Elaine,Green,elaine.green@gmail.com,(505) 217-4849,9554 Vargas Radial,Port Tiffany,Pennsylvania,00150,2024-07-31 11:04:20,2024-08-09 11:04:20,0.01,False,2024-11-14 14:35:51
C100038,Shawn,Patton,,(488) 744-6928,64099 Brown Highway Apt. 932,Nathanmouth,Michigan,00488,2022-08-11 23:29:51,2022-08-11 23:29:51,0.35,False,2023-10-30 13:00:55
C100039,Amanda,Kelly,akelly@hotmail.com,6919403276,8457 Brian Lights,East Tracy,New York,00111,2018-02-24 20:20:02,2018-02-24 20:20:02,1.0,False,2023-10-14 01:43:40
C100040,Mike,Burton,,667-201-2756,20369 Pierce Rest,East Gary,California,00936,2021-08-31 16:50:44,2021-10-25 16:50:44,0.38,False,2022-11-01 15:55:42
C100041,Monica,Clay,monica.clay@gmail.com,923-900-4459,49837 Edward Ridges Suite 141,West Paulmouth,California,00919,2019-09-06 08:59:44,2019-09-06 08:59:44,0.63,True,2023-12-07 13:35:42
C100042,David,Evans,devans@hotmail.com,754-988-8548,901 Jessica Club,North Elizabeth,Florida,00327,2022-02-01 15:17:59,2022-02-01 15:17:59,0.35,True,2022-09-07 06:38:10
C100043,Rebecca,Jones,rebecca_jones@outlook.com,6422236859,3068 Rodriguez Course,Michealview,Arizona,00862,2024-07-07 01:33:48,2024-07-07 01:33:48,0.02,False,2024-09-01 16:29:36
C100044,Jill,Steele,jsteele@gmail.com,(677) 965-2092,478 Nguyen Flat Suite 156,East Rebeccafort,Georgia,00318,2023-03-02 22:09:28,2023-03-02 22:09:28,0.18,True,2024-05-30 10:31:32
C100045,Summer,Nelson,summer.nelson@hotmail.com,(401) 984-6481,728 Sawyer Circles,New Matthew,California,00906,2021-12-31 22:50:42,2021-12-31 22:50:42,0.45,False,2022-04-05 21:44:39
C100046,Donald,Martin,donald.martin@gmail.com,570-901-6321,4228 Kevin Row,Nicoleton,Texas,00775,2019-10-18 16:39:41,2019-11-06 16:39:41,0.84,True,2019-12-27 09:43:55
C100047,Katelyn,Calderon,katelyn.calderon@outlook.com,835-235-6322,595 Randall Freeway Apt. 536,South Codyside,Arizona,00856,2019-08-26 13:19:23,2019-11-13 13:19:23,0.74,True,2024-11-04 19:04:03
C100048,Melissa,Phillips,mphillips@hotmail.com,573-686-4483,7174 Patrick Ramp,Singhtown,Wisconsin,00537,2024-06-08 23:08:58,2024-06-27 23:08:58,0.13,False,2024-12-18 00:05:35
C100049,Jennifer,Robinson,jrobinson@gmail.com,(572) 492-7872,47603 Mary Club Apt. 793,Hermanport,Kentucky,00410,2024-01-13 06:17:04,2024-01-13 06:17:04,0.0,True,2024-04-16 05:36:50
C100050,Tiffany,Hopkins,tiffany_hopkins@gmail.com,(653) 446-3318,8973 Connor Via,New Garretthaven,Florida,00336,2020-06-26 03:15:52,2020-09-05 03:15:52,0.58,True,2022-02-04 06:05:51
C100051,Regina,Parker,rparker@outlook.com,6922267350,4597 Abigail Center Apt. 079,Jonathanberg,California,00905,2022-02-27 19:34:39,2022-05-19 19:34:39,0.54,False,2022-11-09 05:08:08
C100052,Kimberly,Sandoval,ksandoval@yahoo.com,(308) 251-5119,341 Angela Curve,Lindafort,Florida,00341,2022-05-26 11:16:26,2022-08-21 11:16:26,0.42,False,2024-03-30 21:35:41
C100053,Jennifer,Dunlap,jennifer_dunlap@yahoo.com,(719) 296-1459,65242 Woodard Trace Suite 385,North Shawn,Illinois,00603,2023-09-18 10:19:59,2023-09-18 10:19:59,0.16,True,2024-08-09 22:39:41
C100054,Laurie,Ellis,laurie.ellis@outlook.com,(253) 789-3406,46879 Brittany Ridge,Lake Juliaville,Oklahoma,00739,2022-01-11 15:53:08,2022-01-11 15:53:08,0.44,True,2022-04-18 22:24:24
C100055,Julie,Fuller,julie.fuller@gmail.com,5694858133,933 Martin Mall,Rubioport,Florida,00320,2024-04-10 13:32:04,2024-04-10 13:32:04,0.0,True,2024-05-15 02:55:31
C100056,Amanda,Luna,aluna@outlook.com,(419) 401-6705,995 Johnny Isle Apt. 195,Hendersonton,North Dakota,00587,2021-09-25 11:36:29,2021-09-25 11:36:29,0.62,True,2022-11-27 15:09:46
C100057,Victor,Rodgers,victor_rodgers@outlook.com,(769) 218-9292,0853 Barnes Inlet,South Ashley,Washington,00987,2022-01-18 23:31:05,2022-01-18 23:31:05,0.36,True,2022-03-19 01:18:03
C100058,Debra,Schultz,debra.schultz@hotmail.com,(729) 585-5036,0197 Travis Canyon,Mitchellmouth,Alabama,00362,2018-04-06 02:32:00,2018-04-06 02:32:00,0.9,False,2022-05-19 22:14:31
C100059,Marcus,Page,marcus.page@yahoo.com,(884) 649-7493,44907 Angela Path Apt. 289,Bakerberg,New Hampshire,00038,2024-04-26 15:48:01,2024-04-26 15:48:01,0.02,True,2024-05-31 15:00:57
C100060,Sara,Webb,sara.webb@yahoo.com,(710) 488-7761,23590 Nicholas Land Apt. 639,West David,Georgia,00300,2022-08-05 23:11:44,2022-08-05 23:11:44,0.23,False,2024-07-17 11:14:17
C100061,Laura,Mendoza,laura_mendoza@outlook.com,(694) 851-8245,45782 Jack Plaza Suite 458,East Elizabeth,Delaware,00199,2023-10-31 05:18:48,2023-10-31 05:18:48,0.23,True,2024-06-30 00:58:30
C100062,Deborah,Moran,,(783) 873-5749,06005 Marc Unions,Hamiltonview,Ohio,00439,2024-08-01 07:20:14,2024-10-12 07:20:14,0.13,True,2024-11-02 01:48:32
C100063,Matthew,Ryan,matthew_ryan@hotmail.com,990-886-8094,60848 Colon Flat Apt. 997,Solomonfurt,New York,00124,2020-09-25 14:50:21,2020-09-25 14:50:21,0.61,True,2021-07-23 15:38:31
C100064,Kevin,Williams,kevin_williams@hotmail.com,653-578-6071,71322 Susan Manor Suite 444,Brooksfurt,Florida,00333,2022-04-01 01:54:23,2022-04-01 01:54:23,0.27,True,2023-08-25 20:06:52
C100065,Tiffany,Joyce,tjoyce@yahoo.com,(361) 897-2147,42166 Heather Trail,Kellyview,Massachusetts,00024,2023-11-04 18:04:23,2023-11-06 18:04:23,0.0,False,2024-08-04 20:52:56
C100066,Jonathan,Owens,jonathan.owens@hotmail.com,(294) 846-2522,75398 Carter Way Apt. 585,Danielton,New York,00103,2020-06-25 08:14:07,2020-07-31 08:14:07,0.73,True,2024-11-05 11:12:58
C100067,Rachel,Jones,,6994117080,0689 Watts Union Apt. 416,Port Julieshire,Illinois,00629,2020-05-17 11:41:49,2020-05-17 11:41:49,0.63,True,2022-12-02 16:33:30
C100068,Danielle,Patel,dpatel@yahoo.com,978-593-7059,947 Mccarty Cape Apt. 790,South Johnfurt,Ohio,00432,2019-04-14 11:47:52,2019-04-14 11:47:52,0.81,True,2023-05-30 07:20:47
C100069,John,Sullivan,john_sullivan@yahoo.com,7798946694,815 Margaret Locks Apt. 946,North Marcmouth,Texas,00761,2023-12-22 20:49:26,2023-12-22 20:49:26,0.21,True,2024-02-29 17:38:17
C100070,Michael,Dunn,,5114181168,29796 Moore Forest Suite 374,West Jennifer,Washington,00984,2024-07-12 12:00:33,2024-07-12 12:00:33,0.04,False,2024-07-16 01:07:19
C100071,John,Wagner,john.wagner@gmail.com,422-353-1085,75087 Chad Manor,East Ashley,California,00934,2023-03-03 14:55:01,2023-05-17 14:55:01,0.0,True,2023-11-16 16:17:52
C100072,Isabella,Juarez,isabella.juarez@hotmail.com,(544) 775-7230,67476 Monica Hollow,East Nancyhaven,Indiana,00460,2023-01-08 09:07:52,2023-02-08 09:07:52,0.07,False,2024-06-04 14:33:46
C100073,Melissa,Walker,melissa_walker@outlook.com,3128164139,0848 Campbell Unions,Alexistown,Colorado,00809,2018-05-24 13:35:31,2018-05-24 13:35:31,0.89,True,2019-08-03 20:18:07
C100074,Ashley,Hernandez,ahernandez@outlook.com,(493) 517-5720,386 Nicole Mountain Apt. 972,Lake Megan,Illinois,00605,2022-06-04 21:52:12,2022-08-27 21:52:12,0.47,True,2023-05-21 17:27:07
C100075,Dale,Hill,dhill@gmail.com,9493907366,0746 Rebecca Inlet,Jasmineport,California,00925,2018-03-11 13:26:37,2018-03-11 13:26:37,0.91,False,2022-01-19 06:38:03
C100076,Kimberly,Cummings,kimberly.cummings@hotmail.com,(364) 982-8187,531 Garcia Hollow,Lake Brendafort,Massachusetts,00024,2018-07-31 09:46:50,2018-07-31 09:46:50,0.98,True,2020-01-26 16:30:38
C100077,Jason,Jones,jason_jones@hotmail.com,(420) 415-3839,72718 Mcdonald Common,South Jeffrey,California,00926,2019-12-03 20:19:26,2019-12-27 20:19:26,0.9,True,2022-03-29 00:22:12
C100078,Stephanie,Wyatt,,(323) 250-6585,4516 Mcclain Place,Lake Joelside,North Carolina,00282,2019-12-12 14:12:49,2019-12-12 14:12:49,0.72,True,2022-09-02 13:45:16
C100079,Micheal,Leblanc,mleblanc@outlook.com,991-392-9624,87340 Mark Shore Apt. 622,East William,New York,00103,2022-10-14 12:20:15,2022-10-14 12:20:15,0.41,False,2022-12-30 06:01:42
C100080,Brian,Dixon,bdixon@outlook.com,3793864526,2105 Mcmahon Fork Apt. 633,West Megan,Oregon,00973,2019-05-16 18:56:03,2019-05-16 18:56:03,0.76,True,2020-11-16 16:07:49
C100081,Charles,Ferrell,cferrell@outlook.com,257-294-5445,0128 Rowe Stravenue,New Joshuaside,Wisconsin,00530,2024-11-20 22:06:54,2024-11-20 22:06:54,0.19,False,2024-12-24 13:08:01
C100082,Jamie,Peters,jpeters@hotmail.com,898-946-9374,641 Douglas Path,Meyersfurt,New Jersey,00084,2019-11-18 03:32:45,2019-11-18 03:32:45,0.71,False,2020-01-04 02:53:43
C100083,Susan,Allen,,(504) 546-7246,4267 Julie Lodge,South John,New Jersey,00074,2020-05-01 05:03:52,2020-07-09 05:03:52,0.65,False,2024-09-01 06:21:40
C100084,Melissa,Johnson,melissa_johnson@gmail.com,744-934-9951,26831 Allen Villages,Mccormickbury,Washington,00991,2019-08-14 14:24:13,2019-08-14 14:24:13,0.81,True,2022-02-18 21:14:50
C100085,Steven,Barton,,(855) 431-8298,12753 Brown Pass,Carrfurt,Florida,00339,2023-10-20 01:43:30,2023-12-20 01:43:30,0.18,True,2024-06-03 10:26:04
C100086,Jeremy,Sanchez,jsanchez@gmail.com,977-751-1536,00909 Antonio Stream,Jonesview,California,00953,2022-01-16 08:22:10,2022-02-19 08:22:10,0.23,False,2024-05-29 22:42:54
C100087,Todd,Evans,,2277705915,40939 Paula Road,Hermanfurt,North Carolina,00284,2019-01-04 01:26:50,2019-02-25 01:26:50,0.88,False,2024-11-05 09:28:06
C100088,Mary,Cobb,mcobb@yahoo.com,5216285191,874 Nicholas Mews,Justinberg,Texas,00768,2023-10-18 19:14:14,2023-10-18 19:14:14,0.12,False,2023-11-20 23:19:28
C100089,James,Oneal,james.oneal@yahoo.com,640-550-9137,28221 Christopher Shore Apt. 425,Nancyport,California,00904,2021-03-01 14:00:38,2021-05-27 14:00:38,0.34,True,2021-12-13 02:44:08
C100090,Melissa,Rogers,melissa_rogers@hotmail.com,742-503-6505,1635 Mercado Extension Apt. 598,Jeremymouth,Virginia,00222,2019-12-11 06:45:31,2020-03-01 06:45:31,0.69,True,2021-02-02 19:23:07
C100091,Carol,Davis,cdavis@hotmail.com,(657) 582-3521,42298 Campbell Valley Suite 613,New Thomas,North Carolina,00287,2022-02-11 00:12:05,2022-02-11 00:12:05,0.11,True,2023-07-01 17:00:15
C100092,Barry,Nguyen,,(412) 249-8127,148 Jason Mall,Port Kristin,Tennessee,00372,2022-07-10 02:49:48,2022-07-10 02:49:48,0.31,True,2023-04-19 02:17:04
C100093,Kevin,Moran,kevin.moran@hotmail.com,960-841-8719,2919 Brown Spurs,North Richard,Texas,00793,2022-04-22 04:04:30,2022-04-22 04:04:30,0.28,False,2023-08-28 15:39:42
C100094,Andrew,Cox,acox@hotmail.com,9353299921,0340 Michael Road Apt. 164,Lake Christian,Pennsylvania,00183,2020-10-26 13:10:23,2020-12-03 13:10:23,0.56,False,2021-03-05 00:35:15
C100095,Justin,Davis,justin.davis@yahoo.com,204-715-2125,16903 Wilson Mews,South Hayleyville,Hawaii,00968,2022-07-19 23:30:59,2022-07-19 23:30:59,0.19,True,2023-01-02 03:34:03
C100096,Natalie,Morton,,254-655-8018,998 Owen Ridges Apt. 224,Lake Bryan,Wisconsin,00546,2023-12-18 01:58:56,2023-12-19 01:58:56,0.04,False,2024-07-03 19:01:55
C100097,Rachel,Koch,rachel.koch@gmail.com,677-858-3614,47166 Jason Parks Suite 148,North Barbara,Texas,00755,2019-03-08 11:20:27,2019-03-08 11:20:27,0.78,True,2021-10-12 17:35:11
C100098,Kimberly,Rogers,kimberly.rogers@gmail.com,679-355-6899,506 Lauren Gateway Suite 887,West Jeremytown,Florida,00338,2023-02-10 05:16:37,2023-02-10 05:16:37,0.15,True,2023-11-13 00:22:11
C100099,Aaron,Hunt,aaron_hunt@gmail.com,8907715699,0715 Thomas Lock Apt. 305,East Brandy,Florida,00334,2022-04-06 17:52:54,2022-04-06 17:52:54,0.37,True,2024-03-21 23:35:44
C100100,Samantha,Owens,sowens@gmail.com,8313432004,73269 Darren Branch,North Tracy,Georgia,00306,2020-02-14 01:32:37,2020-02-14 01:32:37,0.62,True,2022-02-15 06:48:53
C100101,Christopher,White,christopher_white@outlook.com,(270) 575-7951,3512 Holly Centers Suite 363,Williammouth,Arizona,00862,2023-12-03 17:49:42,2023-12-03 17:49:42,0.0,True,2024-03-18 07:06:20
C100102,Wendy,Adams,wendy_adams@hotmail.com,9925836731,8007 Long Meadow Suite 008,North Michael,Massachusetts,00025,2019-12-22 00:19:28,2020-02-14 00:19:28,0.85,True,2024-04-25 01:40:45
C100103,Amanda,Delgado,amanda_delgado@gmail.com,(468) 553-3019,9073 Owens Dale,Lake Nancy,Texas,00799,2024-01-03 06:28:01,2024-01-03 06:28:01,0.0,True,2024-10-27 23:24:11
C100104,Jennifer,Benton,jbenton@yahoo.com,6097397830,3122 Johnson Dam,Johnburgh,Montana,00594,2024-04-23 20:31:25,2024-06-25 20:31:25,0.08,True,2024-12-20 12:27:56
C100105,Charles,Brock,cbrock@yahoo.com,342-568-9849,2999 Zimmerman Crossroad,Kevinstad,California,00942,2023-08-13 14:43:37,2023-10-22 14:43:37,0.01,True,2023-12-11 16:43:09
C100106,Kimberly,Terry,kimberly_terry@outlook.com,361-716-4529,5195 Lopez Hills Apt. 103,Marisaborough,California,00918,2021-07-09 13:43:04,2021-08-17 13:43:04,0.51,True,2023-04-26 05:55:55
C100107,Nicole,Kirby,nicole_kirby@gmail.com,(292) 402-8233,94281 Mueller Ridge Apt. 763,East Lauratown,Pennsylvania,00176,2018-04-14 06:42:40,2018-04-14 06:42:40,0.93,True,2021-01-29 05:58:10
C100108,Tanya,Blankenship,tblankenship@yahoo.com,(487) 511-4976,36321 Phillips Orchard Suite 232,New Sylvia,Illinois,00617,2023-10-31 15:52:27,2023-11-20 15:52:27,0.22,True,2024-04-28 13:45:55
C100109,Thomas,Hill,thomas_hill@yahoo.com,312-634-6496,8340 Berry Station Apt. 849,Laurenport,Virginia,00246,2024-11-28 07:20:30,2024-11-28 07:20:30,0.02,True,2024-12-17 17:42:49
C100110,Billy,Thomas,,644-489-4370,25346 Christine Manor,Port Stacy,Indiana,00466,2019-10-18 18:12:51,2019-10-18 18:12:51,0.66,False,2021-08-25 16:20:00
C100111,Brittany,Jimenez,,(674) 838-6388,24848 Susan Branch,West Michaelstad,Illinois,00627,2023-12-10 05:12:00,2023-12-10 05:12:00,0.08,False,2024-07-12 12:15:56
C100112,Matthew,Hudson,mhudson@outlook.com,459-379-5538,770 Ryan Bypass,Sandrastad,Idaho,00834,2020-07-09 07:26:56,2020-07-09 07:26:56,0.71,True,2021-02-19 03:43:16
C100113,Margaret,Shaw,margaret_shaw@gmail.com,(933) 906-9517,9347 Daniels Turnpike,Palmershire,New Jersey,00071,2024-08-25 01:25:01,2024-11-05 01:25:01,0.05,True,2024-11-21 07:43:19
C100114,Lindsay,Bennett,lindsay.bennett@outlook.com,304-817-9906,79298 Destiny Village,Jameston,Georgia,00311,2021-01-16 01:23:36,2021-02-14 01:23:36,0.43,False,2023-08-03 22:05:57
C100115,Derek,Mora,dmora@yahoo.com,444-377-4438,278 Holland Mall,Morenomouth,Illinois,00605,2018-11-19 13:48:04,2018-11-19 13:48:04,1.0,True,2019-06-01 10:04:24
C100116,Scott,Brown,sbrown@gmail.com,2605928512,76128 Carolyn Center,Margarethaven,Wyoming,00827,2021-12-29 17:32:45,2021-12-29 17:32:45,0.43,True,2022-09-16 13:05:37
C100117,Samuel,Long,,(762) 239-8574,9088 Leon Squares,Jasonshire,Texas,00785,2024-05-07 02:09:41,2024-07-10 02:09:41,0.0,True,2024-11-12 08:32:11
C100118,Gregory,Cohen,gcohen@outlook.com,(888) 800-8632,751 Daniel Run,Carolynmouth,Georgia,00315,2022-11-20 09:17:41,2022-12-04 09:17:41,0.31,False,2024-06-30 18:09:59
C100119,Theodore,Michael,theodore_michael@yahoo.com,(524) 585-9629,14174 Richard Ways Apt. 475,North Douglas,California,00906,2021-12-28 18:24:13,2021-12-28 18:24:13,0.54,True,2024-01-24 16:04:14
C100120,Greg,Anderson,greg_anderson@outlook.com,572-728-3795,6375 Figueroa Track,Sparksland,Wisconsin,00547,2023-12-09 12:58:43,2023-12-09 12:58:43,0.16,True,2024-08-31 08:52:09
C100121,Amber,Villarreal,avillarreal@gmail.com,(214) 608-8788,68306 Stacy Village Suite 314,East Patriciabury,New York,00134,2023-09-10 23:11:19,2023-09-10 23:11:19,0.07,True,2024-07-26 17:19:46
C100122,Jeffrey,Golden,,(459) 843-1912,62666 Ryan Bridge Suite 533,Katherinestad,Indiana,00474,2022-05-29 20:44:33,2022-05-29 20:44:33,0.3,False,2024-10-01 07:04:15
C100123,Abigail,Johnson,,8719834456,61999 Nash Groves,Hollyfort,Maryland,00208,2024-07-29 23:53:59,2024-07-29 23:53:59,0.05,False,2024-09-05 05:30:21
C100124,Charles,Young,charles_young@yahoo.com,(388) 721-9301,776 Brandy Locks Suite 805,South Gabrielton,New Jersey,00076,2020-02-18 03:20:17,2020-02-18 03:20:17,0.53,True,2020-04-01 11:12:04
C100125,Ashley,Vance,,3304988173,59968 Deborah Run,Sallybury,Idaho,00837,2023-05-06 16:10:55,2023-05-24 16:10:55,0.19,False,2024-10-17 19:57:09
C100126,Sara,Cruz,scruz@hotmail.com,4815379281,625 Patton Station,Edwardside,North Dakota,00586,2019-05-20 00:59:28,2019-05-20 00:59:28,0.7,True,2024-05-15 18:10:10
C100127,Deanna,Taylor,,7785384623,23589 Felicia Keys,West Bethany,Delaware,00197,2020-08-27 05:03:11,2020-08-27 05:03:11,0.66,True,2022-08-10 13:14:55
C100128,Gabriel,Miller,,877-430-4792,066 Campbell Point,East Ashley,Texas,00752,2024-07-27 14:33:08,2024-07-27 14:33:08,0.04,True,2024-11-26 00:59:53
C100129,Denise,Mcclure,denise.mcclure@hotmail.com,917-270-5598,481 Graham Islands Suite 023,Tateview,Florida,00321,2024-09-02 22:04:07,2024-09-26 22:04:07,0.0,True,2024-12-22 19:24:57
C100130,William,Sanchez,,214-217-7974,31017 Henderson Throughway,Jenniferberg,Texas,00793,2021-08-20 08:23:01,2021-08-20 08:23:01,0.44,True,2024-12-28 03:30:02
C100131,Andrew,Fields,andrew_fields@gmail.com,(265) 502-9727,24060 Jessica Valleys,Ashleyburgh,Massachusetts,00015,2018-02-08 08:18:46,2018-02-08 08:18:46,0.82,True,2020-03-17 06:20:41
C100132,Joseph,Jones,joseph_jones@yahoo.com,(495) 577-7133,10940 Olson Green Apt. 747,Rodriguezport,California,00956,2023-12-07 17:58:40,2024-02-11 17:58:40,0.14,False,2024-08-17 20:37:20
C100133,Victoria,Patel,vpatel@outlook.com,878-520-7304,128 Smith Extension,Lake Kathy,Connecticut,00063,2020-06-12 01:09:06,2020-06-12 01:09:06,0.6,True,2022-06-14 18:35:11
